"id"	"description"
"brucella blood"	"Brucella blood"
"esculine azide"	"esculine azide"
"fusobacterium-specific medium"	"fusobacterium-specific medium"
"macconkey"	"macconkey"
"mannitol salt"	"Mannitol salt"
"MRS"	"MRS"
"unknown"	"Unknown"
"YCFAG"	"YCFAG"
"YCFAGC"	"YCFAGC"
"YCFAKAP"	"YCFAKAP"
